,names,links,links_total,links_path
1,ABC,images/abc.jpg,https://www.escudosfc.com.br/images/abc.jpg,logo_images/images/abc.jpg
2,Ação  ,images/acao_mt.jpg,https://www.escudosfc.com.br/images/acao_mt.jpg,logo_images/images/acao_mt.jpg
3,Afogados,images/afogados_pe.jpg,https://www.escudosfc.com.br/images/afogados_pe.jpg,logo_images/images/afogados_pe.jpg
4,Aimoré,images/aimore_rs.png,https://www.escudosfc.com.br/images/aimore_rs.png,logo_images/images/aimore_rs.png
5,Altos,images/altos_pi.png,https://www.escudosfc.com.br/images/altos_pi.png,logo_images/images/altos_pi.png
6,Amazonas,images/amazonas_fc_am.png,https://www.escudosfc.com.br/images/amazonas_fc_am.png,logo_images/images/amazonas_fc_am.png
7,America,images/america.png,https://www.escudosfc.com.br/images/america.png,logo_images/images/america.png
8,América-MG,images/ammg.png,https://www.escudosfc.com.br/images/ammg.png,logo_images/images/ammg.png
9,Anápolis,images/anapolis.png,https://www.escudosfc.com.br/images/anapolis.png,logo_images/images/anapolis.png
10,Aparecidense,images/aparecidense_go.png,https://www.escudosfc.com.br/images/aparecidense_go.png,logo_images/images/aparecidense_go.png
11,ASA,images/asa_al.png,https://www.escudosfc.com.br/images/asa_al.png,logo_images/images/asa_al.png
12,Athletico Paranaense,images/atlpr.png,https://www.escudosfc.com.br/images/atlpr.png,logo_images/images/atlpr.png
13,Atlético,images/atletico_ba.png,https://www.escudosfc.com.br/images/atletico_ba.png,logo_images/images/atletico_ba.png
14,Atlético Cearense,images/uniclinic.jpg,https://www.escudosfc.com.br/images/uniclinic.jpg,logo_images/images/uniclinic.jpg
15,Atletico Goianiense,images/atlego.png,https://www.escudosfc.com.br/images/atlego.png,logo_images/images/atlego.png
16,Atlético Mineiro,images/atletico.png,https://www.escudosfc.com.br/images/atletico.png,logo_images/images/atletico.png
17,Avaí,images/avai.gif,https://www.escudosfc.com.br/images/avai.gif,logo_images/images/avai.gif
18,Azuriz,images/azuriz_pr.png,https://www.escudosfc.com.br/images/azuriz_pr.png,logo_images/images/azuriz_pr.png
19,Bahia - BA,images/bahia.png,https://www.escudosfc.com.br/images/bahia.png,logo_images/images/bahia.png
20,Bahia de Feira,images/bahiadefeira.png,https://www.escudosfc.com.br/images/bahiadefeira.png,logo_images/images/bahiadefeira.png
21,Botafogo - RJ,images/botafogo.gif,https://www.escudosfc.com.br/images/botafogo.gif,logo_images/images/botafogo.gif
22,Botafogo,images/botasp.png,https://www.escudosfc.com.br/images/botasp.png,logo_images/images/botasp.png
23,Botafogo-PB,images/botapb.png,https://www.escudosfc.com.br/images/botapb.png,logo_images/images/botapb.png
24,Bragantino,images/bragantino.png,https://www.escudosfc.com.br/images/bragantino.png,logo_images/images/bragantino.png
25,Brasil-RS,images/gebrasil.gif,https://www.escudosfc.com.br/images/gebrasil.gif,logo_images/images/gebrasil.gif
26,Brasiliense,images/brasiliense.png,https://www.escudosfc.com.br/images/brasiliense.png,logo_images/images/brasiliense.png
27,Brusque,images/brusque.gif,https://www.escudosfc.com.br/images/brusque.gif,logo_images/images/brusque.gif
28,Caldense,images/caldense.jpg,https://www.escudosfc.com.br/images/caldense.jpg,logo_images/images/caldense.jpg
29,Campinense,images/campinense_pb.png,https://www.escudosfc.com.br/images/campinense_pb.png,logo_images/images/campinense_pb.png
30,Cascavel,images/fc_cascavel_pr.png,https://www.escudosfc.com.br/images/fc_cascavel_pr.png,logo_images/images/fc_cascavel_pr.png
31,Castanhal,images/castanhal_pa.png,https://www.escudosfc.com.br/images/castanhal_pa.png,logo_images/images/castanhal_pa.png
32,Caxias,images/caxias.gif,https://www.escudosfc.com.br/images/caxias.gif,logo_images/images/caxias.gif
33,Ceará,images/ceara.png,https://www.escudosfc.com.br/images/ceara.png,logo_images/images/ceara.png
